,MIP,SPS-FTA-SWP,SPS-SA-SWP,SPS-SS-SWP,FTA-INS,FTA-INB,FTA-INV,SA-INS,SA-INB,SA-INV,SS-INS,SS-INB,SS-INV,FTA-ML,SA-ML,SS-ML,NEH,NEH-B
1_1_1,1.1731,7.0273,7.0990,7.1523,7.0020,7.1303,7.0753,7.8753,7.1643,9.4413,7.2753,7.2947,8.1163,8.2660,9.4840,11.1710,0.0033,0.0210
1_1_2,1.0519,7.0053,7.0103,7.1200,7.0367,7.0873,6.9520,7.0743,7.1100,7.0270,7.2200,7.2163,7.1407,7.1820,7.2457,10.9363,0.0033,0.0197
1_1_3,0.9479,6.9473,7.0543,7.1070,7.0373,7.0680,6.9600,7.0680,7.1373,7.0063,7.1260,7.2023,7.1577,7.1310,7.1697,10.8530,0.0037,0.0177
1_1_4,0.9814,7.0237,7.0043,7.1397,7.0330,7.0680,7.0030,7.0553,7.0987,7.0433,7.1693,7.2013,7.1150,7.1880,7.2077,10.8737,0.0023,0.0207
1_1_5,1.0783,7.0283,7.0940,7.1653,6.9897,7.0983,6.9823,7.0743,7.1457,7.0250,7.1610,7.1847,7.1630,7.2507,7.2123,10.9737,0.0017,0.0173
2_2_1,3006.4068,7.5617,7.5090,7.6620,7.5687,7.5003,7.5063,7.8020,7.5797,8.2293,8.1793,7.7220,8.4710,7.6310,8.6070,12.0027,0.0170,0.0267
2_2_2,3008.7087,7.4950,7.5013,7.6420,7.5673,7.4820,7.5077,7.6163,7.5053,7.5300,7.6397,7.6563,7.6047,7.6340,7.5917,11.7453,0.0090,0.0190
2_2_3,3008.3208,7.5010,7.4200,7.6377,7.5447,7.4780,7.5337,7.4367,7.5037,7.4713,7.6990,7.6303,7.6177,7.6517,7.6137,11.6337,0.0093,0.0187
2_2_4,3008.1419,7.5393,7.4463,7.6493,7.5460,7.5173,7.4727,7.4483,7.5253,7.4687,7.7170,7.6307,7.6040,7.5857,7.6203,11.6180,0.0090,0.0213
2_2_5,3009.1677,7.5377,7.5043,7.7093,7.5850,7.5150,7.5130,7.5440,7.5600,7.4867,7.6837,7.7123,7.5717,7.6383,7.5930,11.7580,0.0087,0.0197
3_3_1,3026.5607,7.6767,7.7703,7.8880,7.7017,7.8430,7.8327,7.8123,7.9433,8.1097,7.9437,8.1150,8.1990,7.7283,8.1563,8.6070,0.0230,0.0910
3_3_2,3006.0712,7.6683,7.7520,7.8330,7.7447,7.8413,7.6753,7.7903,7.8847,7.7387,7.9723,8.0260,7.9090,7.8080,7.7667,8.6430,0.0170,0.0973
3_3_3,3014.7429,7.7567,7.7480,7.9760,7.7820,7.7917,7.7630,7.8107,7.9220,7.6763,8.0450,8.0443,7.8100,7.7383,7.9003,8.5903,0.0183,0.1023
3_3_4,3006.0092,7.7290,7.7040,7.8793,7.7500,7.7857,7.6977,7.7473,7.8720,7.7360,7.9660,7.9400,7.8087,7.7053,7.6870,8.6357,0.0190,0.0903
3_3_5,3053.4730,7.6720,7.7407,7.9000,7.7257,7.7727,7.6677,7.7937,7.8680,7.7077,7.8427,8.0310,7.7963,7.7033,7.6747,8.7567,0.0160,0.0987
4_4_1,3003.7261,7.9777,8.0143,8.1107,8.0627,7.9813,8.1337,8.0273,8.0623,8.3607,8.3443,8.2777,8.6843,7.9497,8.2800,8.9237,0.0320,0.0873
4_4_2,3007.0423,7.9863,7.8227,8.2763,8.0337,7.8883,8.0357,7.8433,7.8923,7.9127,8.2233,8.1000,8.1683,7.8687,7.8377,8.8393,0.0300,0.0910
4_4_3,3004.8867,7.9013,7.8057,8.1140,7.9853,7.8673,8.0533,7.8737,7.9153,7.8807,8.1833,8.1203,8.3133,7.8367,7.8217,8.8110,0.0290,0.0877
4_4_4,3004.0632,7.8960,7.8150,8.1593,7.9693,7.8987,8.0593,7.8813,7.8907,7.9063,8.2423,8.2557,8.2420,7.7800,7.8423,8.9600,0.0287,0.0847
4_4_5,3006.0605,7.8943,7.8030,8.1333,7.9790,7.8757,8.0517,7.8453,7.9090,7.8447,8.2873,8.1523,8.3023,7.8727,7.8020,8.9353,0.0280,0.0837
